CountyAbbrv,CountyNum,COUNTYFP10,CountyName
ALA,1,"001",Alachua County
BAK,2,"003",Baker County
BAY,3,"005",Bay County
BRA,4,"007",Bradford County
BRE,5,"009",Brevard County
BRO,6,"011",Broward County
CAL,7,"013",Calhoun County
CHA,8,"015",Charlotte County
CIT,9,"017",Citrus County
CLA,10,"019",Clay County
CLL,11,"021",Collier County
CLM,12,"023",Columbia County
DAD,13,"086",Miami-Dade County
DES,14,"027",DeSoto County
DIX,15,"029",Dixie County
DUV,16,"031",Duval County
ESC,17,"033",Escambia County
FLA,18,"035",Flagler County
FRA,19,"037",Franklin County
GAD,20,"039",Gadsden County
GIL,21,"041",Gilchrist County
GLA,22,"043",Glades County
GUL,23,"045",Gulf County
HAM,24,"047",Hamilton County
HAR,25,"049",Hardee County
HEN,26,"051",Hendry County
HER,27,"053",Hernando County
HIG,28,"055",Highlands County
HIL,29,"057",Hillsborough County
HOL,30,"059",Holmes County
IND,31,"061",Indian River County
JAC,32,"063",Jackson County
JEF,33,"065",Jefferson County
LAF,34,"067",Lafayette County
LAK,35,"069",Lake County
LEE,36,"071",Lee County
LEO,37,"073",Leon County
LEV,38,"075",Levy County
LIB,39,"077",Liberty County
MAD,40,"079",Madison County
MAN,41,"081",Manatee County
MRN,42,"083",Marion County
MRT,43,"085",Martin County
MON,44,"087",Monroe County
NAS,45,"089",Nassau County
OKA,46,"091",Okaloosa County
OKE,47,"093",Okeechobee County
ORA,48,"095",Orange County
OSC,49,"097",Osceola County
PAL,50,"099",Palm Beach County
PAS,51,"101",Pasco County
PIN,52,"103",Pinellas County
POL,53,"105",Polk County
PUT,54,"107",Putnam County
SAN,55,"113",Santa Rosa County
SAR,56,"115",Sarasota County
SEM,57,"117",Seminole County
STJ,58,"109",St. Johns County
STL,59,"111",St. Lucie County
SUM,60,"119",Sumter County
SUW,61,"121",Suwannee County
TAY,62,"123",Taylor County
UNI,63,"125",Union County
VOL,64,"127",Volusia County
WAK,65,"129",Wakulla County
WAL,66,"131",Walton County
WAS,67,"133",Washington County
